music,link,id,artist_name,created_at
处处吻,https://music.163.com/song?id=316686,10204,杨千嬅,2019-07-31 12:20:09
野孩子,https://music.163.com/song?id=316486,10204,杨千嬅,2019-07-31 12:20:09
可惜我是水瓶座,https://music.163.com/song?id=316654,10204,杨千嬅,2019-07-31 12:20:09
小城大事,https://music.163.com/song?id=316756,10204,杨千嬅,2019-07-31 12:20:09
少女的祈祷,https://music.163.com/song?id=29593497,10204,杨千嬅,2019-07-31 12:20:09
勇,https://music.163.com/song?id=316498,10204,杨千嬅,2019-07-31 12:20:09
再见二丁目,https://music.163.com/song?id=316938,10204,杨千嬅,2019-07-31 12:20:09
假如让我说下去,https://music.163.com/song?id=316637,10204,杨千嬅,2019-07-31 12:20:09
稀客,https://music.163.com/song?id=316510,10204,杨千嬅,2019-07-31 12:20:09
承诺(香港版),https://music.163.com/song?id=5251209,10204,杨千嬅,2019-07-31 12:20:09
花好月圆夜 - (电影《花好月圆》插曲),https://music.163.com/song?id=5265772,10204,杨千嬅,2019-07-31 12:20:09
烈女,https://music.163.com/song?id=316691,10204,杨千嬅,2019-07-31 12:20:09
飞女正传,https://music.163.com/song?id=316509,10204,杨千嬅,2019-07-31 12:20:09
偷生,https://music.163.com/song?id=316397,10204,杨千嬅,2019-07-31 12:20:09
炼金术 - (电影《煎酿三宝》主题曲),https://music.163.com/song?id=316405,10204,杨千嬅,2019-07-31 12:20:09
自由行,https://music.163.com/song?id=316517,10204,杨千嬅,2019-07-31 12:20:09
人情世故,https://music.163.com/song?id=26034827,10204,杨千嬅,2019-07-31 12:20:09
小星星,https://music.163.com/song?id=316683,10204,杨千嬅,2019-07-31 12:20:09
Single,https://music.163.com/song?id=316735,10204,杨千嬅,2019-07-31 12:20:09
明年今日(Live),https://music.163.com/song?id=316855,10204,杨千嬅,2019-07-31 12:20:09
寒舍,https://music.163.com/song?id=316678,10204,杨千嬅,2019-07-31 12:20:09
命硬,https://music.163.com/song?id=316580,10204,杨千嬅,2019-07-31 12:20:09
花与爱丽斯,https://music.163.com/song?id=316413,10204,杨千嬅,2019-07-31 12:20:09
背后女人,https://music.163.com/song?id=1294591024,10204,杨千嬅,2019-07-31 12:20:09
捞月亮的人,https://music.163.com/song?id=27598818,10204,杨千嬅,2019-07-31 12:20:09
笑中有泪,https://music.163.com/song?id=316656,10204,杨千嬅,2019-07-31 12:20:09
大城大事,https://music.163.com/song?id=316776,10204,杨千嬅,2019-07-31 12:20:09
一千零一个,https://music.163.com/song?id=317149,10204,杨千嬅,2019-07-31 12:20:09
我的生存之道,https://music.163.com/song?id=316708,10204,杨千嬅,2019-07-31 12:20:09
向左走,https://music.163.com/song?id=317287,10204,杨千嬅,2019-07-31 12:20:09
只談風月不談戀愛,https://music.163.com/song?id=26034821,10204,杨千嬅,2019-07-31 12:20:09
化,https://music.163.com/song?id=26034828,10204,杨千嬅,2019-07-31 12:20:09
拥抱回忆,https://music.163.com/song?id=27598826,10204,杨千嬅,2019-07-31 12:20:09
咬唇 - (电影《新札师妹Ⅱ美丽任务》主题曲),https://music.163.com/song?id=317000,10204,杨千嬅,2019-07-31 12:20:09
同病相愛,https://music.163.com/song?id=26034820,10204,杨千嬅,2019-07-31 12:20:09
电光幻影,https://music.163.com/song?id=316763,10204,杨千嬅,2019-07-31 12:20:09
杨千嬅,https://music.163.com/song?id=316639,10204,杨千嬅,2019-07-31 12:20:09
原来过得很快乐,https://music.163.com/song?id=25877497,10204,杨千嬅,2019-07-31 12:20:09
七友,https://music.163.com/song?id=5268254,10204,杨千嬅,2019-07-31 12:20:09
姊妹,https://music.163.com/song?id=316631,10204,杨千嬅,2019-07-31 12:20:09
知情識趣,https://music.163.com/song?id=26034822,10204,杨千嬅,2019-07-31 12:20:09
亦舒说,https://music.163.com/song?id=316709,10204,杨千嬅,2019-07-31 12:20:09
明日再会,https://music.163.com/song?id=27598817,10204,杨千嬅,2019-07-31 12:20:09
悲歌之王,https://music.163.com/song?id=316488,10204,杨千嬅,2019-07-31 12:20:09
芬梨道上,https://music.163.com/song?id=316710,10204,杨千嬅,2019-07-31 12:20:09
为何他会离开你,https://music.163.com/song?id=316583,10204,杨千嬅,2019-07-31 12:20:09
水月镜花,https://music.163.com/song?id=316704,10204,杨千嬅,2019-07-31 12:20:09
谁愿放手(Live),https://music.163.com/song?id=317352,10204,杨千嬅,2019-07-31 12:20:09
滚,https://music.163.com/song?id=316403,10204,杨千嬅,2019-07-31 12:20:09
每當變幻時 - (电影《每当变幻时》主题曲),https://music.163.com/song?id=26034825,10204,杨千嬅,2019-07-31 12:20:09
